[General]
2FAHeader|2단계 인증
NoResultsFoundText|검색 결과 없음
NotRatedText|평가 없음
PasswordFieldLabel|비밀번호
PasswordResetEmailInvalidContent|해당 이메일로 등록된 계정을 찾을 수 없습니다.
PasswordResetEmailInvalidHeader|비밀번호 재설정 실패
PasswordResetEmailSentContent|비밀번호 재설정 링크가 이메일로 발송되었습니다. 10분 이내 도착하지 않으면 스팸함을 확인하세요.
PasswordResetEmailSentHeader|이메일 발송 완료
PasswordResetGenericErrorContent|해당 이메일로 등록된 계정을 찾을 수 없습니다.
PasswordResetGenericErrorHeader|비밀번호 재설정 실패
PasswordResetTooSoonContent|비밀번호 재설정 이메일이 이미 발송되었습니다. 10분 이내 스팸함도 확인하세요.
PasswordResetTooSoonHeader|재설정 이메일 발송 대기 중
PasswordResetUnknownIssueContent|서버 문제로 비밀번호 재설정이 실패했습니다. 네트워크 상태 확인 후 다시 시도해 주세요. 문제가 지속되면 Discord에서 문의하세요.
PasswordResetUnknownIssueHeader|비밀번호 재설정 실패
PopulateDesignsUnSuccessfulDisclaimer|디자인 불러오기 실패. 다시 시도해 주세요.
PopulateDesignsUnSuccessfulHeader|디자인 불러오기 실패
RateDesignPopupHeader|디자인 평가하기
RateDesignSuccessfulDisclaimer|평가 완료! 감사합니다.
RateDesignSuccessfulHeader|평가 성공
RateDesignText|평가하기
RateDesignUnSuccessfulDisclaimer|인증 오류로 평가에 실패했습니다. 다시 시도해 주세요.
RateDesignUnSuccessfulHeader|평가 실패
RatedStoryContent|스토리에 평가해 주셔서 감사합니다.
RatedStoryHeader|스토리 평가 완료
RateStoryButton|스토리 평가하기
RateStoryPopupHeader|스토리 평가
RatingLabel|평점:
RegisterNewAccountCheckboxLabel|새 계정 등록
RegistrationStatusAlreadyRegisteredContent|이미 등록된 계정입니다. 비밀번호 재설정을 하거나 기존 계정으로 로그인하세요.
RegistrationStatusAlreadyRegisteredHeader|이미 등록됨
RegistrationStatusDuplicateUserNameContent|사용자 이름이 이미 사용 중입니다.
RegistrationStatusDuplicateUserNameHeader|중복된 사용자 이름
RegistrationStatusSuccessContent|등록 요청을 받았습니다. 이메일 인증 후 로그인할 수 있습니다.
RegistrationStatusSuccessHeader|등록 요청 완료
RegistrationStatusUnknownErrorContent|등록 실패. 입력 내용을 확인하고 다시 시도하세요. 문제가 계속되면 포럼에서 문의하세요.
RegistrationStatusUnknownErrorHeader|알 수 없는 오류
RegistrationStatusUnknownExceptionHeader|알 수 없는 오류
RegistrationStatusWeakPasswordContent|비밀번호는 10자 이상, 숫자, 대문자, 소문자, 특수문자(!, @ 등)를 포함해야 합니다.
RegistrationStatusWeakPasswordHeader|약한 비밀번호
ReleasedOnLabel|출시일:
RemoveTagHint|태그의 X 버튼을 눌러 삭제하세요.
ReportAlreadySubmittedDisclaimer|이미 신고한 항목입니다.
ReportAlreadySubmittedHeader|신고 완료
ReportCommentLengthErrorDisclaimer|신고 사유는 150자 이내로 작성해 주세요.
ReportCommentLengthErrorHeader|신고 사유 길이 오류
ReportDesignDisclaimer|이 디자인에 부적절하거나 불법적인 내용이 포함되어 있나요? 150자 이내로 신고 사유를 작성해 주세요. 한 디자인당 신고는 1회만 가능합니다.
ReportDesignSuccessfulDisclaimer|신고 접수 완료! 감사합니다.
ReportDesignSuccessfulHeader|신고 성공
ReportDesignUnSuccessfulDisclaimer|인증 오류로 신고 실패. 다시 시도해 주세요.
ReportDesignUnSuccessfulHeader|신고 실패
ReportStoryButton|스토리 신고
ReportStoryDisclaimer|이 스토리에 부적절하거나 불법적인 내용이 포함되어 있나요? 신고하여 검토 요청할 수 있습니다.
ReportStoryHeader|스토리 신고
ReportSuccessfulDisclaimer|신고를 접수했습니다. 검토 후 처리하겠습니다.
ReportSuccessfulHeader|신고 완료
SearchPlaceholderText|태그, 공유 ID, 제작자 검색
SearchText|검색
SelectCharacterText|캐릭터 선택:
SharedDesignsHeader|공유 디자인
SharedDesignsTab|공유됨
ShowText|표시
SpaceCharacter|<공백>
StoryByLabel|스토리 제작자:
StoryDownloadFailedContent|스토리 다운로드 실패. 다시 시도해 주세요.
StoryDownloadFailedHeader|스토리 다운로드 실패
StoryDownloadSuccessContent|스토리 다운로드 완료! 이제 플레이할 수 있습니다.
StoryDownloadSuccessHeader|스토리 다운로드 성공!
SubmitButton|제출
SubmitRatingButton|평가 제출
SubscribeToEmailsCheckboxLabel|프로모션 및 소식을 받아보겠습니다!
TagAndTitleErrorMessagePart1|문자
TagErrorMessagePart2|는 태그에 사용할 수 없습니다. 문자와 숫자만 허용됩니다.
TagErrorMessagePart3|태그 길이는 3~12자여야 합니다.
TitleErrorMessagePart2|제목에 사용할 수 없는 문자입니다. 문자, 숫자, 공백만 허용됩니다.
TitleErrorMessagePart3|제목은 공백 제외 6자 이상이어야 합니다.
TitlePlaceholderText|제목 입력...
TopRatedTab|평점 상위
UninstallStoryButtonText|스토리 삭제
UninstallStoryDisclaimer|정말 이 스토리를 삭제하시겠습니까?
UninstallStoryFailedContent|스토리 삭제 실패. 수동으로 삭제해야 할 수도 있습니다.
UninstallStoryFailedHeader|스토리 삭제 실패
UninstallStoryHeader|스토리 삭제 확인
UninstallStorySuccessContent|스토리가 삭제되었습니다! 여유 공간을 즐기세요.
UninstallStorySuccessHeader|스토리 삭제 성공
UpdateStoryButtonText|업데이트
UpdateStoryFailedContent|스토리 업데이트 실패. 권한 문제일 수 있습니다.
UpdateStoryFailedHeader|스토리 업데이트 실패
UpdateStorySuccessContent|스토리 업데이트 완료!
UpdateStorySuccessHeader|업데이트 성공
UploadDesignDescriptionLabel|설명 (최대 50자):
UploadDesignHeader|디자인 공유
UploadDesignInstructions|스토리 제작자라면 자신의 커스텀 스토리를 이 목록에 추가하려면
UploadSuccesfulHeader|업로드 성공
UploadText|업로드
UsedAchievementText|필요 업적:
UsedDLCText|필요 DLC:
UsernameFieldLabel|사용자 이름:
ValidationResultAgeConfirmationMissingContent|만 18세 이상이어야 합니다.
ValidationResultAgeConfirmationMissingHeader|연령 제한
ValidationResultAgeConfirmationMissingWarning|만 18세 이상임을 확인해 주세요.
ValidationResultBadEmailContent|잘못된 이메일 주소입니다.
ValidationResultBadEmailHeader|이메일 오류
ValidationResultBadEmailWarning|유효한 이메일 주소를 입력해 주세요.
ValidationResultBadPasswordContent|비밀번호는 10자 이상, 숫자, 대문자, 소문자, 특수문자를 포함해야 합니다.
ValidationResultBadPasswordHeader|약한 비밀번호
ValidationResultBadPasswordWarning|비밀번호는 10자 이상, 숫자, 대문자, 소문자, 특수문자를 포함해야 합니다.
ValidationResultBadUsernameContent|사용자 이름이 너무 짧거나 길거나, 허용되지 않는 문자가 포함되어 있습니다.
ValidationResultBadUsernameHeader|잘못된 사용자 이름
ValidationResultBadUsernameWarning|사용자 이름은 최소 4자이며 허용 문자를 사용해야 합니다.
ValidationResultMismatchedPasswordsContent|비밀번호가 일치하지 않습니다.
ValidationResultMismatchedPasswordsHeader|비밀번호 불일치
ValidationResultMismatchedPasswordsWarning|비밀번호를 정확히 입력했는지 확인해 주세요.
ValidationResultUnknownErrorContent|서버와 통신 중 오류가 발생했습니다.
ValidationResultUnknownErrorHeader|알 수 없는 오류
YourRatingForStoryLabel|당신의 평가:
